title,artist,time,date
Running A Little Late,Flo Yuting-Zhu,18:00,1/9/2021
aleph null,with.lasers,18:30,1/9/2021
A Beautiful Temptation,Jinyuan Li,19:00,1/9/2021
Fish, Chips, Cup O'Tea,Kris Cirkuit,19:30,1/9/2021
Pavement Radio,Karen Okpoti,20:00,1/9/2021
And Then They Were Gone,Armando González Sosto,20:30,1/9/2021
Spatial,Yu Hsuan Liao,21:00,1/9/2021
Spatial,Yu Hsuan Liao,17:30,2/9/2021
Pavement Radio,Karen Okpoti,18:00,2/9/2021
And Then They Were Gone,Armando González Sosto,18:30,2/9/2021
aleph null,with.lasers,19:00,2/9/2021
A Beautiful Temptation,Jinyuan Li,19:30,2/9/2021
Fish, Chips, Cup O'Tea,Kris Cirkuit,20:00,2/9/2021
Running A Little Late,Flo Yuting-Zhu,20:30,2/9/2021
Spatial,Yu Hsuan Liao,13:00,3/9/2021
Pavement Radio,Karen Okpoti,13:30,3/9/2021
And Then They Were Gone,Armando González Sosto,14:00,3/9/2021
Running A Little Late,Flo Yuting-Zhu,14:30,3/9/2021
A Beautiful Temptation,Jinyuan Li,15:00,3/9/2021
Fish, Chips, Cup O'Tea,Kris Cirkuit,15:30,3/9/2021
aleph null,with.lasers,16:00,3/9/2021
Pavement Radio,Karen Okpoti,17:30,3/9/2021
Spatial,Yu Hsuan Liao,18:00,3/9/2021
And Then They Were Gone,Armando González Sosto,18:30,3/9/2021
Running A Little Late,Flo Yuting-Zhu,19:00,3/9/2021
A Beautiful Temptation,Jinyuan Li,19:30,3/9/2021
Fish, Chips, Cup O'Tea,Kris Cirkuit,20:00,3/9/2021
aleph null,with.lasers,20:30,3/9/2021
Spatial,Yu Hsuan Liao,13:00,4/9/2021
Pavement Radio,Karen Okpoti,13:30,4/9/2021
And Then They Were Gone,Armando González Sosto,14:00,4/9/2021
Running A Little Late,Flo Yuting-Zhu,14:30,4/9/2021
A Beautiful Temptation,Jinyuan Li,15:00,4/9/2021
aleph null,with.lasers,15:30,4/9/2021
Fish, Chips, Cup O'Tea,Kris Cirkuit,16:00,4/9/2021
And Then They Were Gone,Armando González Sosto,17:30,4/9/2021
Pavement Radio,Karen Okpoti,18:00,4/9/2021
Spatial,Yu Hsuan Liao,18:30,4/9/2021
Running A Little Late,Flo Yuting-Zhu,19:00,4/9/2021
A Beautiful Temptation,Jinyuan Li,19:30,4/9/2021
Fish, Chips, Cup O'Tea,Kris Cirkuit,20:00,4/9/2021
aleph null,with.lasers,20:30,4/9/2021
Running A Little Late,Flo Yuting-Zhu,13:00,5/9/2021
A Beautiful Temptation,Jinyuan Li,13:30,5/9/2021
aleph null,with.lasers,14:00,5/9/2021
Fish, Chips, Cup O'Tea,Kris Cirkuit,14:30,5/9/2021
Spatial,Yu Hsuan Liao,15:00,5/9/2021
Pavement Radio,Karen Okpoti,15:30,5/9/2021
And Then They Were Gone,Armando González Sosto,16:00,5/9/2021
